,No.,Object name,Material,Stained,Surface properties
0,1,Christmas bear ,100000000000000000000000000000,100,10000000000
1,2,Lab-keys ,110000000000000000000000000000,010,01100000000
2,3,Apricot  ,001000000000000000000000000000,001,10000000000
3,4,Round candle ,010100000000000000000000000000,010,01100000000
4,5,Nut ,000010000000000000000000000000,001,00010000000
5,6,Pot ,000001000000000000000000000000,001,00001000000
6,7,Shell ,000000100000000000000000000000,001,00000100000
7,8,Green box ,000000010000000000000000000000,001,10000000000
8,9,Shoe ,100000010000000000000000000000,100,01000000000
9,10,Women statue ,000000001000000000000000000000,100,10000000000
10,11,Mexx parfum ,010000000100000000000000000000,100,01000000000
11,12,Labello lip gloss ,000000010000000000000000000000,100,10000000000
12,13,Matchbox  ,000000000010000000000000000000,100,10000000000
13,14,Baby cream tube ,000000010000000000000000000000,100,10000000000
14,15,Yellow bear ,100000000000000000000000000000,100,10000000000
15,16,Red block ,000010000000000000000000000000,001,10000000000
16,17,Red onion ,000000000001000000000000000000,010,01000000000
17,18,Apple teabags ,000000000010000000000000000000,100,10000000000
18,19,Green block ,000010000000000000000000000000,001,00001000000
19,20,Copper ,010000000000000000000000000000,001,00100100000
20,21,Measure lint ,010000010000000000000000000000,100,01000000000
21,22,Boeddha  ,010000000000000000000000000000,001,10000000000
22,23,Blue bear ,100000000000000000000000000000,100,10000000000
23,24,Yellow box ,000000010000000000000000000000,001,10000000000
24,25,Colorful toysquare ,000000010000000000000000000000,100,10000000000
25,26,Optic lampbox  ,000000000010000000000000000000,100,10000000000
26,27,Aa lava ,000000001000000000000000000000,001,00000100000
27,28,GJ’s watch ,110000010000000000000000000000,001,01000000000
28,29,Chocolate box ,000000000010000000000000000000,100,10000000000
29,30,metal bowl ,010000000000000000000000000000,100,00100000000
30,31,yellow bear ,100000000000000000000000000000,001,00000010000
31,32,Brown bear ,100000000000000000000000000000,001,00000010000
32,33,Chess horse ,000010000000000000000000000000,001,00001000000
33,34,Tea light ,000100000000100000000000000000,001,01000000000
34,35,White bowl ,000000000100000000000000000000,001,00010000000
35,36,child cup ,000000010000000000000000000000,100,10000000000
36,37,Vitamin pills ,000000010110000000000000000000,100,01000000000
37,38,Hairy head ,100000000000000000000000000000,100,00000100000
38,39,Bottle gin ,010000000110000000000000000000,100,01100000000
39,40,Light bulb ,010000000100000000000000000000,001,01100000000
40,41,Glass pot ,000000000100000000000000000000,001,00100100000
41,42,Three keys ,010000000000000000000000000000,100,00100000000
42,43,Alarm clock ,010000000100000000000000000000,001,01100000000
43,44,Koala keyhanger ,110000010000000000000000000000,100,01000000000
44,45,Yellow candle ,000100000000000000000000000000,001,10000000000
45,46,Blue teabagsbox ,000000000010000000000000000000,100,10000000000
46,47,Brown plastic cup ,000000010000000000000000000000,100,00010000000
47,48,caned basked  ,000000000000010000000000000000,001,10000000000
48,49,pink bow  ,000000010000000000000000000000,001,00100000000
49,50,nut ,000010000000000000000000000000,001,00010000000
50,51,cork ,000010000000000000000000000000,001,10000000000
51,52,hairy ball ,001000000000000000000000000000,001,00000100000
52,53,tape  ,000000010000000000000000000000,100,10000000000
53,54,racing car ,000000010000000000000000000000,100,10000000000
54,55,halter toy ,000000010000000000000000000000,100,00100000000
55,56,metal sticks ,010000001000000000000000000000,001,01000000000
56,57,acorn ,000010000000000000000000000000,001,00000010000
57,58,blue car ,000010000000000000000000000000,100,00001000000
58,59,blue cell phone ,010000000000000000000000000000,100,10000000000
59,60,Cosmetics ,000000010000000000000000000000,100,00100000000
60,61,Red box ,000000010000000000000000000000,100,00100000000
61,62,yellow duck ,000000010000000000000000000000,100,10000000000
62,63,yellow sponge  ,000000000000001000000000000000,001,10000000000
63,64,pink sponge ,000000000000001000000000000000,001,10000000000
64,65,blue sponge ,000000000000001000000000000000,001,10000000000
65,66,Shampoo ,000000010000000000000000000000,100,00100000000
66,67,red lady bird ,000000010000000000000000000000,100,10000000000
67,68,blue lady bird ,000000010000000000000000000000,100,10000000000
68,69,tomato ,001000000000000000000000000000,001,01100000000
69,70,Grey stone ,000000001000000000000000000000,100,00000010000
70,71,Yellow wire ,000000000000000100000000000000,001,00100000000
71,72,Red/white wire ,000000000000000100000000000000,100,10000000000
72,73,Blue cup ,000000010000000000000000000000,100,10000000000
73,74,Vaseline ,000000010010000000000000000000,100,01000000000
74,75,Boat ,000010000000000100000000000000,100,01000000000
